country_name,country_code,year,subject,mean_score
Albania,ALB,2000,mathematics,381.0
Albania,ALB,2000,reading,348.8
Albania,ALB,2000,science,376.5
Argentina,ARG,2000,mathematics,388.0
Argentina,ARG,2000,reading,418.3
Argentina,ARG,2000,science,396.2
Australia,AUS,2000,mathematics,533.0
Australia,AUS,2000,reading,528.3
Australia,AUS,2000,science,527.5
Austria,AUT,2000,mathematics,502.5
Austria,AUT,2000,reading,507.0
Austria,AUT,2000,science,504.7
Belgium,BEL,2000,mathematics,520.0
Belgium,BEL,2000,reading,507.1
Belgium,BEL,2000,science,495.7
Brazil,BRA,2000,mathematics,334.0
Brazil,BRA,2000,reading,396.0
Brazil,BRA,2000,science,375.2
Bulgaria,BGR,2000,mathematics,430.0
Bulgaria,BGR,2000,reading,430.4
Bulgaria,BGR,2000,science,448.3
Canada,CAN,2000,mathematics,533.0
Canada,CAN,2000,reading,534.3
Canada,CAN,2000,science,529.4
Chile,CHL,2000,mathematics,384.0
Chile,CHL,2000,reading,409.6
Chile,CHL,2000,science,414.9
Czechia,CZE,2000,mathematics,498.0
Czechia,CZE,2000,reading,491.6
Czechia,CZE,2000,science,511.4
Denmark,DNK,2000,mathematics,514.0
Denmark,DNK,2000,reading,496.9
Denmark,DNK,2000,science,481.0
Finland,FIN,2000,mathematics,536.0
Finland,FIN,2000,reading,546.5
Finland,FIN,2000,science,537.7
France,FRA,2000,mathematics,517.0
France,FRA,2000,reading,504.7
France,FRA,2000,science,500.5
Germany,DEU,2000,mathematics,490.0
Germany,DEU,2000,reading,484.0
Germany,DEU,2000,science,487.1
Greece,GRC,2000,mathematics,447.0
Greece,GRC,2000,reading,473.8
Greece,GRC,2000,science,460.6
"Hong Kong SAR, China",HKG,2000,mathematics,560.0
"Hong Kong SAR, China",HKG,2000,reading,525.5
"Hong Kong SAR, China",HKG,2000,science,540.8
Hungary,HUN,2000,mathematics,488.0
Hungary,HUN,2000,reading,480.0
Hungary,HUN,2000,science,496.1
Iceland,ISL,2000,mathematics,514.0
Iceland,ISL,2000,reading,506.9
Iceland,ISL,2000,science,495.9
Indonesia,IDN,2000,mathematics,367.0
Indonesia,IDN,2000,reading,370.6
Indonesia,IDN,2000,science,393.3
Ireland,IRL,2000,mathematics,503.0
Ireland,IRL,2000,reading,526.7
Ireland,IRL,2000,science,513.4
Israel,ISR,2000,mathematics,433.0
Israel,ISR,2000,reading,452.2
Israel,ISR,2000,science,434.1
Italy,ITA,2000,mathematics,457.0
Italy,ITA,2000,reading,487.5
